Actual_AQI,Predicted_AQI
46.99999999999999,36.753418
32.0,37.54121
46.0,36.053303
40.0,35.562885
32.0,34.93606
30.0,33.31736
26.999999999999996,30.660828
22.0,27.690634
18.0,24.083689
15.0,20.202274
15.0,15.669945
18.0,12.002782
20.0,10.721768
15.0,11.9135
20.0,13.044007
21.0,14.528159
23.0,16.550283
19.0,18.655195
38.0,19.687925
42.0,24.48442
46.99999999999999,30.985973
39.0,37.096565
46.0,40.797516
49.00000000000001,42.99622
53.0,44.798317
29.000000000000004,46.59443
62.0,43.625225
65.0,45.41249
62.99999999999999,49.535828
68.0,53.727062
71.0,57.397938
69.0,60.858727
72.0,62.5376
72.0,63.611744
73.0,64.68482
75.0,65.05298
75.0,65.69396
76.0,66.5819
73.0,67.14182
73.0,66.89349
69.0,66.14933
69.0,64.69117
71.0,63.044205
72.0,62.20983
70.0,62.238396
67.0,62.25565
62.99999999999999,61.5182
60.0,59.777702
58.00000000000001,57.105484
57.0,54.80559
43.0,52.561977
56.00000000000001,48.099747
56.00000000000001,46.124462
39.0,45.531364
46.0,42.37252
46.99999999999999,39.75183
45.0,38.61525
50.0,38.30303
48.0,39.64215
46.0,41.481136
45.0,42.313168
34.0,41.56479
46.0,39.126957
43.0,37.87521
40.0,37.228733
37.0,35.79481
38.0,33.824783
38.0,32.46658
18.0,31.742912
36.0,27.994568
34.0,27.179438
33.0,27.619986
32.0,27.89908
31.0,28.283398
34.0,28.422993
35.0,28.76387
38.0,29.468426
50.0,30.843575
42.0,34.614624
57.0,36.799778
57.0,41.171448
52.0,45.756454
59.0,47.962727
60.0,49.65092
57.0,51.36621
59.0,51.726185
60.0,51.90664
57.0,52.431423
58.00000000000001,52.028477
62.0,51.583546
58.00000000000001,52.294754
53.0,52.363342
53.0,51.150333
56.00000000000001,49.939148
52.0,49.502518
51.0,48.3348
49.00000000000001,46.972668
36.0,45.45605
46.99999999999999,41.715466
46.99999999999999,39.96356
41.0,39.435436
40.0,38.47596
37.0,37.283226
29.000000000000004,35.447197
30.0,32.578304
28.000000000000004,29.710573
30.0,27.026718
29.000000000000004,25.192667
30.0,24.185343
25.0,24.068413
23.0,23.669315
24.0,22.472187
22.0,21.864836
22.0,21.231594
22.0,20.692453
20.0,20.304724
21.0,19.912834
21.0,19.385426
22.0,19.359259
22.0,19.375902
20.0,19.412369
21.0,19.521156
21.0,19.146053
17.0,18.611814
20.0,17.744074
19.0,17.01736
22.0,16.267275
12.0,16.37898
22.0,15.436537
21.0,15.991066
18.0,17.148767
23.0,17.872114
23.0,18.469044
26.0,19.496286
26.0,20.469778
25.0,21.546022
25.0,22.416773
26.999999999999996,22.82465
29.000000000000004,23.154978
26.999999999999996,24.204931
28.000000000000004,24.792952
29.000000000000004,24.67826
28.000000000000004,24.893932
29.000000000000004,24.972746
30.0,26.063951
31.0,27.358936
26.0,27.893696
25.0,27.41152
23.0,25.35276
19.0,23.046986
10.0,20.126898
22.0,16.18343
23.0,15.396123
24.0,16.845215
23.0,18.461016
23.0,19.639742
22.0,20.841122
21.0,21.154432
11.0,20.50664
22.0,18.135944
23.0,17.507515
22.0,17.579676
24.0,18.64776
24.0,20.007212
25.0,20.861671
25.0,21.662222
26.0,22.096722
26.0,22.625874
20.0,23.268822
25.0,22.48637
26.0,22.522917
25.0,23.07813
25.0,23.462454
24.0,23.361809
20.0,23.223846
20.0,22.183912
19.0,20.667435
20.0,19.235128
21.0,18.613861
20.0,18.309853
20.0,18.434353
22.0,18.910248
22.0,19.41395
23.0,19.40537
12.0,19.86002
21.0,18.361242
21.0,17.49631
21.0,17.508396
22.0,17.78621
0.0,18.152866
20.0,14.786162
20.0,14.112082
21.0,14.784761
23.0,16.206505
23.0,18.111286
19.0,19.513447
21.0,19.58156
22.0,19.692453
22.0,20.054825
23.0,20.358591
25.0,20.181482
24.0,20.672195
22.0,21.190132
21.0,21.157187
22.0,20.393543
19.0,19.717133
12.0,18.251364
20.0,16.504911
21.0,16.439423
18.0,17.257902
22.0,17.884668
23.0,19.11747
23.0,20.4124
23.0,21.233204
23.0,21.486565
23.0,21.763908
15.0,21.670506
21.0,19.895586
20.0,19.119688
19.0,17.848444
22.0,16.548698
26.0,16.477795
21.0,18.246243
0.0,19.768278
2.0,16.556627
21.0,12.739311
26.0,12.58328
26.999999999999996,15.307798
29.000000000000004,19.08476
29.000000000000004,22.98775
30.0,25.915916
29.000000000000004,27.674557
29.000000000000004,28.486492
29.000000000000004,28.252668
25.0,27.327076
23.0,26.27145
26.0,25.23418
24.0,24.740383
25.0,24.402632
23.0,24.057142
23.0,23.571695
20.0,23.107561
25.0,22.133183
26.0,22.119278
23.0,22.842138
28.000000000000004,23.02145
28.000000000000004,23.790382
23.0,24.59187
10.0,24.366194
32.0,21.03995
26.999999999999996,21.31008
33.0,22.456781
33.0,24.56717
30.0,27.122383
29.000000000000004,28.25794
29.000000000000004,28.435705
26.999999999999996,27.722263
29.000000000000004,26.80263
28.000000000000004,26.112928
30.0,25.681038
6.0,25.88481
26.0,21.37349
23.0,20.1858
19.0,20.090595
22.0,19.49447
21.0,19.370838
19.0,19.584286
19.0,19.733957
20.0,19.26606
19.0,18.761488
21.0,18.562744
21.0,17.89465
22.0,17.900576
22.0,18.983515
22.0,19.943531
20.0,20.979445
17.0,20.586061
25.0,19.519419
25.0,19.49053
23.0,19.898716
26.999999999999996,20.821829
26.999999999999996,22.306568
26.999999999999996,23.845793
28.000000000000004,25.170414
28.000000000000004,25.957117
29.000000000000004,26.190601
22.0,25.893658
28.000000000000004,24.402374
26.0,23.575085
24.0,22.671906
24.0,21.55483
23.0,21.00197
15.0,20.525026
24.0,18.59791
21.0,18.526361
19.0,18.651323
22.0,18.581179
26.0,18.859537
25.0,20.11576
21.0,21.47757
19.0,21.760403
20.0,21.668236
20.0,21.279581
20.0,20.393515
20.0,19.92215
11.0,19.582695
19.0,18.016876
20.0,16.968111
18.0,17.021765
20.0,17.540745
21.0,18.086243
23.0,18.839258
21.0,19.803944
22.0,20.194738
23.0,20.29923
13.0,20.42337
23.0,18.167356
23.0,17.903145
21.0,18.293934
21.0,18.784506
22.0,19.31339
12.0,20.10668
24.0,18.73416
24.0,19.06854
23.0,19.885447
11.0,20.425488
22.0,18.781567
22.0,18.601349
20.0,18.7629
21.0,19.002907
22.0,19.31693
14.000000000000002,19.521732
19.0,18.180407
19.0,17.656422
17.0,17.343832
20.0,16.844687
23.0,17.013683
24.0,18.290508
25.0,19.535421
25.0,21.365486
25.0,23.109013
23.0,24.068867
26.0,24.183767
29.000000000000004,24.354893
29.000000000000004,24.627743
19.0,25.763617
31.0,24.50304
32.0,24.976185
32.0,25.959505
32.0,26.88647
11.0,27.27135
33.0,23.561556
33.0,22.91398
30.0,23.797302
9.0,24.851656
35.0,21.881947
37.0,22.165138
36.0,24.298979
9.0,27.412483
37.0,25.0227
26.0,25.14272
35.0,24.780682
34.0,26.265959
35.0,28.073797
37.0,29.43521
37.0,30.403309
34.0,31.393835
36.0,31.582314
36.0,31.761734
37.0,31.476364
28.000000000000004,31.978806
25.0,30.421846
37.0,28.019594
35.0,27.901741
35.0,28.164062
30.0,28.734844
25.0,28.02411
35.0,26.286404
34.0,26.21875
12.0,26.912645
35.0,23.730309
34.0,23.764462
34.0,25.006643
34.0,27.032598
30.0,28.93339
28.000000000000004,29.459272
28.000000000000004,28.238811
26.0,26.376972
26.999999999999996,24.725838
52.0,23.543926
53.0,27.758417
53.0,34.44433
48.0,40.617504
43.0,44.23205
38.0,44.713257
26.0,42.374413
32.0,36.418724
29.000000000000004,31.921377
16.0,27.865227
19.0,22.939829
20.0,19.564325
14.000000000000002,17.62151
7.000000000000001,15.681755
13.0,13.255927
17.0,12.093959
18.0,12.225845
18.0,13.240919
19.0,14.58361
20.0,15.896618
8.0,17.055984
19.0,15.3757715
0.0,15.737622
2.0,13.126974
23.0,9.866305
25.0,10.619167
26.0,13.879542
43.0,17.842358
44.0,24.473385
46.99999999999999,31.564274
46.99999999999999,37.414795
40.0,40.927685
52.0,41.70586
52.0,42.896866
36.0,44.310184
42.0,42.59027
46.99999999999999,40.50156
57.0,39.940334
51.0,42.497494
36.0,44.095413
46.99999999999999,42.297745
49.00000000000001,41.38932
41.0,41.297626
46.99999999999999,40.41747
45.0,40.1293
41.0,39.810207
45.0,38.958923
45.0,38.77074
44.0,39.31299
43.0,39.3164
30.0,39.027336
43.0,36.14719
42.0,35.391113
42.0,35.247337
43.0,35.790527
44.0,36.39076
46.0,37.124035
46.99999999999999,38.626804
46.0,40.24115
46.99999999999999,41.447826
50.0,42.271057
53.0,43.096394
44.0,44.794075
64.0,44.163563
65.0,47.144577
66.0,51.00458
65.0,54.726616
65.0,57.614838
69.0,59.034172
53.99999999999999,60.272118
70.0,57.843597
74.0,58.201996
74.0,60.498714
76.0,62.723568
78.0,64.9063
58.00000000000001,67.258865
77.0,64.42712
79.0,64.23167
77.0,65.67698
71.0,67.0756
74.0,66.66019
73.0,66.408325
69.0,65.72791
66.0,64.36393
67.0,62.55674
62.99999999999999,60.787506
68.0,58.79296
74.0,58.35795
70.0,59.827377
74.0,61.422066
75.0,63.07925
61.0,64.8642
75.0,63.051132
77.0,62.99416
79.0,64.24638
77.0,65.89251
73.0,67.180916
76.0,67.46157
79.0,67.76652
77.0,68.397736
56.00000000000001,68.820755
79.0,63.956024
62.99999999999999,63.079216
77.0,61.443428
76.0,62.069046
76.0,63.89907
59.0,65.20662
80.0,63.28997
79.0,64.199646
79.0,65.67506
69.0,67.25503
80.0,66.4752
80.0,67.244286
78.0,68.276375
79.0,69.21752
77.0,69.96615
72.0,70.07582
71.0,68.09138
58.00000000000001,66.45001
68.0,62.299835
66.0,59.52539
69.0,57.99898
67.0,57.706295
65.0,57.971355
68.0,58.063313
66.0,58.571987
46.99999999999999,58.656487
67.0,54.376823
66.0,53.638294
66.0,54.273167
69.0,55.536915
68.0,57.1904
73.0,58.557755
68.0,60.37415
46.99999999999999,60.798714
61.0,56.71092
64.0,53.908234
69.0,52.931484
62.99999999999999,54.521935
43.0,55.57371
58.00000000000001,51.928104
41.0,50.021126
53.0,45.826195
50.0,44.54384
41.0,43.18062
50.0,40.64993
36.0,40.152832
50.0,37.664635
51.0,38.718906
53.99999999999999,41.1368
53.99999999999999,43.814342
51.0,45.57928
50.0,46.028297
52.0,45.500484
53.0,45.218845
41.0,45.072655
48.0,43.29947
46.0,42.25424
46.0,41.40579
46.99999999999999,40.779133
52.0,40.83164
52.0,41.898834
52.0,43.525043
39.0,44.863056
53.0,43.233566
51.0,42.85918
50.0,43.142056
55.0,43.414444
39.0,44.447346
51.0,42.442425
44.0,42.13662
30.0,41.369484
42.0,37.664936
26.0,36.158955
38.0,32.407192
40.0,31.35288
33.0,31.71248
32.0,31.382446
