Actual_AQI,Predicted_AQI
46.99999999999999,41.722767
32.0,42.25141
46.0,40.484146
40.0,39.971107
32.0,39.35838
30.0,37.607628
26.999999999999996,35.03773
22.0,32.2702
18.0,28.398966
15.0,24.640373
15.0,19.965399
18.0,16.6111
20.0,14.936454
15.0,15.696432
20.0,16.598766
21.0,18.11682
23.0,20.285345
19.0,22.852617
38.0,24.084505
42.0,29.05461
46.99999999999999,35.735638
39.0,41.909992
46.0,45.53929
49.00000000000001,48.566387
53.0,50.369846
29.000000000000004,53.11864
62.0,49.81941
65.0,51.510803
62.99999999999999,55.354027
68.0,59.31702
71.0,63.340782
69.0,66.786224
72.0,68.419044
72.0,69.44479
73.0,70.68547
75.0,71.385864
75.0,71.604324
76.0,72.40559
73.0,73.316246
73.0,72.5969
69.0,72.057724
69.0,70.47084
71.0,68.50145
72.0,67.44831
70.0,67.53895
67.0,67.664536
62.99999999999999,66.74226
60.0,64.73731
58.00000000000001,61.503963
57.0,59.146908
43.0,56.79412
56.00000000000001,52.34368
56.00000000000001,50.60626
39.0,50.564156
46.0,47.112778
46.99999999999999,44.574238
45.0,43.397774
50.0,42.763134
48.0,44.331413
46.0,45.99672
45.0,46.520813
34.0,45.4421
46.0,43.187733
43.0,42.131966
40.0,41.36695
37.0,39.66597
38.0,37.66564
38.0,36.45059
18.0,35.752365
36.0,32.03185
34.0,31.275019
33.0,31.544907
32.0,31.42514
31.0,31.647133
34.0,31.74418
35.0,32.13822
38.0,33.019547
50.0,34.595093
42.0,38.66788
57.0,40.95127
57.0,45.340664
52.0,50.065063
59.0,52.366844
60.0,54.539646
57.0,56.27712
59.0,56.95463
60.0,57.34744
57.0,57.64963
58.00000000000001,56.983612
62.0,55.962776
58.00000000000001,56.64012
53.0,56.479416
53.0,55.158924
56.00000000000001,54.078842
52.0,53.523197
51.0,52.25458
49.00000000000001,50.800102
36.0,49.26264
46.99999999999999,45.46177
46.99999999999999,43.75168
41.0,43.26762
40.0,42.622948
37.0,41.289276
29.000000000000004,39.230385
30.0,36.248104
28.000000000000004,33.34344
30.0,30.925295
29.000000000000004,29.611637
30.0,28.29864
25.0,28.035686
23.0,27.546734
24.0,26.125168
22.0,25.578432
22.0,25.206287
22.0,24.487776
20.0,23.896564
21.0,23.206135
21.0,22.505638
22.0,22.340532
22.0,22.676285
20.0,22.9813
21.0,22.920216
21.0,23.005634
17.0,22.361406
20.0,21.43204
19.0,20.888367
22.0,20.360771
12.0,20.462175
22.0,19.308939
21.0,19.682173
18.0,20.638435
23.0,21.209936
23.0,21.761578
